Date,Close/Last,Volume,Open,High,Low
11/20/2024,77.95,25099,77.94,78.08,77.71
11/19/2024,77.47,23355,77.51,77.58,77.38
11/18/2024,77.89,41317,77.52,78.1477,77.31
11/15/2024,77.13,47809,77.29,77.29,76.8133
11/14/2024,77.24,74634,77.63,77.63,76.96
11/13/2024,78.17,70017,79.00,79.40,78.06
11/12/2024,78.21,144951,78.85,79.11,78.00
11/11/2024,80.68,48802,81.09,81.09,80.51
11/08/2024,80.35,122117,81.15,81.6724,79.77
11/07/2024,84.79,54129,83.98,85.20,83.64
11/06/2024,80.71,167257,80.13,81.19,79.635
11/05/2024,82.58,38344,82.69,82.69,82.29
11/04/2024,80.56,34357,80.94,81.5037,80.54
11/01/2024,79.76,30122,80.24,80.51,79.69
10/31/2024,79.76,20157,79.74,79.7859,79.06
10/30/2024,79.89,34966,79.44,80.21,79.44
10/29/2024,80.76,35099,81.86,81.86,80.65
10/28/2024,81.43,114836,80.89,81.83,80.84
10/25/2024,80.29,55577,80.41,80.99,80.24
10/24/2024,79.95,105616,79.99,80.21,79.34
10/23/2024,80.44,38248,81.38,81.45,80.30
10/22/2024,81.02,72041,80.48,81.72,80.48
10/21/2024,80.16,146766,80.01,80.56,79.64
10/18/2024,80.99,235609,81.89,81.89,80.82
10/17/2024,77.69,74449,77.97,77.97,77.1701
10/16/2024,79.68,39410,79.35,80.26,79.07
10/15/2024,78.30,168423,80.48,80.48,78.15
10/14/2024,82.48,57854,82.67,84.11,82.20
10/11/2024,84.11,44513,82.23,84.4049,82.025
10/10/2024,83.81,72827,84.06,84.43,82.5995
10/09/2024,83.20,91178,81.83,83.76,81.83
10/08/2024,86.11,270451,85.54,86.8594,84.08
10/07/2024,97.17,127408,94.13,97.17,93.23
10/04/2024,91.99,103048,91.17,91.99,90.34
10/03/2024,88.19,238105,87.28,89.28,87.1201
10/02/2024,90.58,173057,89.75,90.58,88.24
10/01/2024,84.84,166307,82.43,84.99,82.0468
09/30/2024,82.12,129353,84.12,84.255,81.82
09/27/2024,81.05,229529,80.12,81.71,80.12
09/26/2024,79.57,266521,79.96,79.96,78.18
09/25/2024,73.20,58089,73.12,73.71,72.72
09/24/2024,74.92,111216,72.96,75.00,72.725
09/23/2024,68.82,11219,68.27,69.05,68.27
09/20/2024,67.9586,7261,68.34,68.34,67.908
09/19/2024,68.01,42801,67.59,68.04,67.32
09/18/2024,65.91,39839,66.51,66.60,65.91
09/17/2024,66.18,14103,65.89,66.56,65.89
09/16/2024,65.68,32581,65.80,65.80,65.615
09/13/2024,65.52,10886,65.54,65.58,65.31
09/12/2024,65.32,5993,65.24,65.40,65.15
09/11/2024,65.41,50415,65.20,65.46,64.83
09/10/2024,64.93,360737,65.16,65.16,64.69
09/09/2024,65.21,21965,65.08,65.3729,64.90
09/06/2024,65.42,17977,65.97,65.97,65.39
09/05/2024,66.21,9075,66.25,66.48,66.13
09/04/2024,66.117,12451,66.44,66.54,66.117
09/03/2024,66.41,12385,66.48,66.625,66.29
08/30/2024,67.23,87376,67.55,67.55,67.02
08/29/2024,66.65,122237,66.66,66.85,66.42
08/28/2024,65.97,17710,66.50,66.51,65.92
08/27/2024,67.1049,28067,67.37,67.37,67.0399
08/26/2024,66.91,21090,67.44,67.44,66.79
08/23/2024,68.17,24132,67.80,68.30,67.75
08/22/2024,67.50,14013,67.91,67.91,67.38
08/21/2024,68.07,79214,67.65,68.12,67.64
08/20/2024,67.46,63299,68.15,68.15,67.43
08/19/2024,68.94,58910,68.68,69.13,68.68
08/16/2024,68.47,67944,67.93,68.52,67.93
08/15/2024,67.6002,67408,67.26,67.814,67.25
08/14/2024,66.74,225760,67.45,67.45,66.46
08/13/2024,67.9718,7346,67.69,68.00,67.69
08/12/2024,67.45,195789,67.22,67.69,67.22
08/09/2024,66.98,91642,67.07,67.083,66.79
08/08/2024,67.29,46352,66.70,67.4271,66.70
08/07/2024,66.08,44187,66.89,66.91,65.96
08/06/2024,65.9323,51182,65.43,66.22,65.43
08/05/2024,66.01,26360,65.16,66.05,65.1102
08/02/2024,66.41,25260,66.34,66.4451,66.0727
08/01/2024,66.51,17123,67.31,67.47,66.45
07/31/2024,67.485,30112,67.82,67.82,67.40
07/30/2024,66.0213,63851,66.16,66.22,65.87
07/29/2024,66.6386,17482,66.73,66.73,66.43
