Date, Open, High, Low, Close
10/16/24, 286.7200, 288.1100, 286.2300, 287.8200
10/15/24, 288.3200, 288.6898, 285.9100, 286.3600
10/14/24, 286.8600, 288.7300, 286.6144, 288.3400
10/11/24, 283.9700, 286.3900, 283.9500, 286.1100
10/10/24, 283.7800, 284.6100, 283.0300, 283.9100
10/09/24, 282.5500, 284.7400, 282.2600, 284.5000
10/08/24, 281.2800, 282.8800, 280.8800, 282.5300
10/07/24, 282.0400, 282.1300, 279.5400, 280.1700
10/04/24, 282.4600, 282.8900, 280.3450, 282.7500
10/03/24, 279.8300, 280.9500, 278.9000, 280.0400
10/02/24, 280.2400, 281.1700, 278.8700, 280.6400
10/01/24, 283.0000, 283.0500, 279.1600, 280.5800
09/30/24, 281.6200, 283.3856, 280.3700, 283.1600
09/27/24, 283.1800, 283.4350, 281.4630, 282.0500
09/26/24, 284.2700, 284.3500, 282.0900, 283.2000
09/25/24, 282.9500, 283.1500, 281.5000, 281.9400
09/24/24, 282.7600, 282.8900, 281.1400, 282.8700
09/23/24, 282.2000, 282.5550, 281.4600, 282.1600
09/20/24, 281.6800, 282.0200, 280.0781, 281.4600
09/19/24, 282.1000, 283.0000, 280.6000, 282.0500
09/18/24, 278.3700, 281.0600, 277.0900, 277.3500
09/17/24, 278.9800, 279.7800, 276.9700, 278.0500
09/16/24, 277.1200, 277.8805, 276.2500, 277.7700
09/13/24, 276.0000, 277.6999, 275.7600, 277.2200
09/12/24, 273.4300, 275.5500, 272.1500, 275.3000
09/11/24, 270.2200, 273.3568, 265.9200, 273.0300
09/10/24, 270.1300, 270.4900, 267.6700, 270.3400
09/09/24, 268.3900, 270.0469, 267.5800, 269.2900
09/06/24, 271.1800, 272.0400, 266.0100, 266.4400
09/05/24, 271.8000, 273.0200, 269.8300, 270.9400
09/04/24, 271.0050, 273.5360, 270.9800, 271.7800
09/03/24, 276.8000, 277.0000, 271.1600, 272.3900
08/30/24, 276.7200, 278.5300, 275.0850, 278.3800
08/29/24, 276.4800, 278.3100, 275.2442, 275.7200
08/28/24, 276.8000, 277.0800, 273.9195, 275.4500
08/27/24, 276.1000, 277.3800, 275.6100, 277.1400
08/26/24, 278.1300, 278.5300, 276.2550, 276.8900
08/23/24, 275.7400, 277.8300, 275.3300, 277.5900
08/22/24, 277.1700, 277.5900, 273.6100, 274.1200
08/21/24, 275.7700, 276.8997, 274.9500, 276.4600
08/20/24, 275.6800, 276.3100, 274.4255, 275.0800
08/19/24, 273.6200, 275.7900, 273.0200, 275.7500
08/16/24, 271.9000, 273.5400, 271.7250, 273.1700
08/15/24, 270.9400, 272.7700, 270.5800, 272.5200
08/14/24, 267.6500, 268.4700, 266.1313, 267.8800
08/13/24, 264.4100, 267.2100, 264.3000, 267.1200
08/12/24, 263.6300, 263.9900, 261.7600, 262.7500
